timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/06/04 15:08:58.849,442,[UC_XX]_Start_Page,200,"Number of samples in transaction : 8, number of failing samples : 0",UC_03 3-1,,true,,12472,4051,4,8,null,0,5,10
2024/06/04 15:08:58.850,12,/webtours/,200,OK,UC_03 3-1,text,true,,664,359,4,7,http://localhost:1080/webtours/,12,0,10
2024/06/04 15:08:58.862,1,/webtours/header.html,200,OK,UC_03 3-1,text,true,,1007,412,4,7,http://localhost:1080/webtours/header.html,1,0,0
2024/06/04 15:08:58.863,172,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-1,text,true,,1025,745,4,8,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,156,0,0
2024/06/04 15:08:59.036,47,/webtours/images/hp_logo.png,200,OK,UC_03 3-1,bin,true,,898,428,4,8,http://localhost:1080/webtours/images/hp_logo.png,47,0,0
2024/06/04 15:08:59.084,0,/webtours/images/webtours.png,200,OK,UC_03 3-1,bin,true,,4486,429,4,8,http://localhost:1080/webtours/images/webtours.png,0,0,0
2024/06/04 15:08:59.085,162,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-1,text,true,,1757,786,4,8,http://localhost:1080/cgi-bin/nav.pl?in=home,149,0,0
2024/06/04 15:08:59.248,47,/WebTours/home.html,200,OK,UC_03 3-1,text,true,,1659,460,4,8,http://localhost:1080/WebTours/home.html,47,0,0
2024/06/04 15:08:59.295,1,/WebTours/images/mer_login.gif,200,OK,UC_03 3-1,bin,true,,976,432,4,8,http://localhost:1080/WebTours/images/mer_login.gif,1,0,0
2024/06/04 15:08:58.834,459,[UC_XX]_Start_Page,200,"Number of samples in transaction : 8, number of failing samples : 0",UC_02 2-2,,true,,12471,4051,2,8,null,0,4,2
2024/06/04 15:08:58.835,3,/webtours/,200,OK,UC_02 2-2,text,true,,664,359,2,4,http://localhost:1080/webtours/,3,0,2
2024/06/04 15:08:58.839,1,/webtours/header.html,200,OK,UC_02 2-2,text,true,,1007,412,2,4,http://localhost:1080/webtours/header.html,1,0,0
2024/06/04 15:08:58.840,185,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_02 2-2,text,true,,1025,745,2,8,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,162,0,0
2024/06/04 15:08:59.025,47,/webtours/images/hp_logo.png,200,OK,UC_02 2-2,bin,true,,898,428,2,8,http://localhost:1080/webtours/images/hp_logo.png,47,0,0
2024/06/04 15:08:59.072,1,/webtours/images/webtours.png,200,OK,UC_02 2-2,bin,true,,4486,429,2,8,http://localhost:1080/webtours/images/webtours.png,1,0,0
2024/06/04 15:08:59.074,174,/cgi-bin/nav.pl?in=home,200,OK,UC_02 2-2,text,true,,1756,786,2,8,http://localhost:1080/cgi-bin/nav.pl?in=home,161,0,0
2024/06/04 15:08:59.249,47,/WebTours/home.html,200,OK,UC_02 2-2,text,true,,1659,460,2,8,http://localhost:1080/WebTours/home.html,47,0,0
2024/06/04 15:08:59.296,1,/WebTours/images/mer_login.gif,200,OK,UC_02 2-2,bin,true,,976,432,2,8,http://localhost:1080/WebTours/images/mer_login.gif,1,0,0
2024/06/04 15:08:58.848,473,[UC_XX]_Start_Page,200,"Number of samples in transaction : 8, number of failing samples : 0",UC_03 3-2,,true,,12472,4051,4,8,null,0,11,3
2024/06/04 15:08:58.859,4,/webtours/,200,OK,UC_03 3-2,text,true,,664,359,4,7,http://localhost:1080/webtours/,4,0,3
2024/06/04 15:08:58.863,1,/webtours/header.html,200,OK,UC_03 3-2,text,true,,1007,412,4,7,http://localhost:1080/webtours/header.html,1,0,0
